pro_football_name,yahoo_name
Mitchell Trubisky,Mitch Trubisky
Jeff Wilson,Jeff Wilson Jr
Travis Etienne,Travis Etienne Jr
Melvin Gordon,Melvin Gordon III
Richie James,Richie James Jr 
Josh Palmer,Joshua Palmer
Darrell Henderson,Darrell Henderson Jr
D K Metcalf,DK Metcalf
Gabriel Davis,Gabe Davis
D J Moore,DJ Moore
Marvin Jones,Marvin Jones Jr 
Mark Ingram,Mark Ingram II
DJ Chark,DJ Chark Jr
Allen Robinson,Allen Robinson II
David Sills,David Sills V
Ray Ray McCloud,Ray Ray McCloud III
Scott Miller,Scotty Miller
Tony Jones,Tony Jones Jr
Phillip Dorsett,Phillip Dorsett II
Chigoziem Okonkwo,Chig Okonkwo
D Wayne Eskridge,Dee Eskridge